SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT
2018-19,regular-season,-,22,59,242.8,406.0,18.8,6.8,11.1,61.4,1.9,2.7,72.2,15.6,83.1,4.7,24.7,0.9,4.7,1.1,5.6,1.2,6.2,0
2018-19,regular-season,-,19,63,240.9,404.9,22.6,7.7,13.1,59.2,2.7,3.6,74.8,18.3,80.8,6.0,26.3,1.1,4.8,1.1,4.8,1.5,6.6,0
2018-19,regular-season,-,33,49,241.2,437.5,23.2,8.0,12.2,65.9,3.1,4.3,72.2,19.4,83.6,6.4,27.6,1.2,5.0,1.4,6.0,1.8,7.8,0
2018-19,regular-season,-,54,28,240.6,436.3,25.9,8.9,14.0,63.5,2.6,3.7,70.0,20.7,80.0,7.5,29.1,1.4,5.6,1.4,5.2,1.5,6.0,0
2018-19,regular-season,-,41,41,242.1,431.0,24.4,8.4,14.7,57.2,3.1,4.5,67.7,20.2,82.9,5.0,20.6,0.7,2.8,1.4,5.9,2.0,8.3,0
2018-19,regular-season,-,57,25,241.5,444.8,23.2,8.5,12.6,67.1,2.4,3.1,75.4,19.5,84.3,7.0,30.3,1.5,6.5,1.3,5.6,1.5,6.4,0
2018-19,regular-season,-,53,29,241.8,366.7,21.0,7.7,12.2,63.0,2.2,3.3,65.9,17.9,85.5,5.3,25.4,0.8,3.8,0.9,4.3,1.5,7.3,0
2018-19,regular-season,-,48,34,240.3,428.4,23.1,8.8,13.7,64.3,2.3,3.3,71.4,20.2,87.5,5.7,24.6,1.1,4.9,1.3,5.5,1.4,6.2,0
2018-19,regular-season,-,48,34,241.8,429.2,24.6,9.4,15.3,61.8,3.7,5.1,72.1,22.9,93.2,4.6,18.8,0.6,2.6,1.2,4.9,2.2,9.0,0
2018-19,regular-season,-,37,45,241.2,404.2,25.4,10.0,15.5,64.5,2.7,3.9,68.7,22.8,90.0,5.6,22.1,1.0,3.7,1.5,5.9,1.6,6.4,0
2018-19,regular-season,-,33,49,242.4,449.9,26.4,8.9,14.7,60.8,3.5,4.7,73.3,21.5,81.5,6.8,25.8,1.0,3.9,1.3,4.8,2.1,7.9,0
2018-19,regular-season,-,39,43,240.6,425.2,26.2,10.0,15.8,63.2,2.5,4.0,61.7,22.7,86.6,6.1,23.2,1.0,3.7,1.2,4.7,1.7,6.5,0
2018-19,regular-season,-,60,22,241.2,410.2,20.6,8.0,12.5,64.0,2.3,3.0,76.4,18.5,90.0,4.7,22.7,0.7,3.4,0.9,4.1,1.3,6.3,0
2018-19,regular-season,-,36,46,241.8,417.3,23.1,8.6,13.8,62.5,3.5,4.4,79.8,21.1,91.0,5.0,21.5,1.0,4.1,1.3,5.6,2.0,8.5,0
2018-19,regular-season,-,33,49,240.9,439.0,27.1,10.8,16.4,65.9,3.6,4.6,78.3,25.4,93.9,5.9,21.9,1.0,3.8,1.7,6.2,1.9,7.0,0
2018-19,regular-season,-,17,64,241.2,418.3,19.0,7.4,11.8,63.2,2.7,3.6,74.1,17.8,93.9,3.5,18.4,0.5,2.8,1.2,6.2,1.6,8.3,0
2018-19,regular-season,-,48,33,242.2,372.3,27.8,9.7,15.7,61.7,2.8,4.1,67.6,22.5,81.0,7.1,25.5,1.1,4.0,1.5,5.5,1.7,6.3,0
2018-19,regular-season,-,40,40,241.3,405.5,24.7,9.4,15.0,62.5,2.3,3.1,74.7,21.4,86.6,5.9,24.0,0.9,3.7,1.3,5.3,1.4,5.7,0
2018-19,regular-season,-,51,30,241.5,443.0,25.3,9.1,14.5,62.3,3.8,4.8,79.2,22.2,87.7,6.1,24.3,1.2,4.7,1.1,4.3,2.0,8.0,0
2018-19,regular-season,-,19,63,242.4,429.6,23.4,9.6,14.6,65.8,2.7,3.9,70.5,22.4,95.5,4.7,20.1,0.9,3.9,1.2,4.9,1.6,6.8,0
2018-19,regular-season,-,53,29,242.1,407.0,23.7,8.8,14.2,61.7,3.3,4.1,80.3,21.0,88.7,5.3,22.2,0.9,3.9,1.3,5.3,1.7,7.3,0
2018-19,regular-season,-,39,43,240.6,420.0,27.2,10.5,16.8,62.8,2.9,4.2,69.4,24.2,88.7,5.9,21.5,1.1,4.2,1.6,5.9,1.8,6.5,0
2018-19,regular-season,-,48,34,241.5,400.2,20.9,7.7,12.2,62.9,2.8,3.6,77.9,18.5,88.2,5.1,24.5,1.0,4.8,1.1,5.3,1.6,7.6,0
2018-19,regular-season,-,58,24,242.4,422.2,21.4,7.6,11.9,63.6,2.4,3.2,74.0,17.8,83.3,6.0,27.9,1.2,5.5,1.2,5.5,1.4,6.4,0
2018-19,regular-season,-,50,31,240.9,434.5,26.6,10.5,15.0,69.9,4.1,6.5,63.5,25.3,95.2,6.3,23.6,1.0,3.7,1.4,5.4,2.8,10.7,0
2018-19,regular-season,-,31,50,243.1,418.1,21.2,8.3,12.5,66.5,2.8,3.7,75.1,19.7,92.9,5.2,24.5,1.0,4.5,1.0,4.5,1.6,7.6,0
2018-19,playoffs,-,5,4,240.0,393.9,15.3,4.6,8.1,56.2,2.3,2.6,91.3,11.4,74.6,4.1,26.8,0.6,3.6,0.9,5.8,1.1,7.2,0
2018-19,playoffs,-,1,4,240.0,380.2,24.8,8.0,14.2,56.3,4.4,5.0,88.0,20.2,81.5,6.6,26.6,1.4,5.6,1.0,4.0,2.2,8.9,0
2018-19,playoffs,-,7,7,247.1,433.4,24.1,8.0,13.9,57.7,3.9,4.9,79.4,19.7,81.7,6.4,26.3,1.0,4.1,0.7,3.0,1.8,7.4,0
2018-19,playoffs,-,0,4,240.0,405.3,25.3,9.0,14.8,61.0,2.3,5.3,42.9,20.3,80.2,5.3,20.8,1.3,5.0,0.8,3.0,2.3,8.9,0
2018-19,playoffs,-,14,8,242.3,434.2,24.8,8.7,13.0,66.8,3.5,4.8,73.3,20.9,84.1,7.6,30.6,1.4,5.5,1.4,5.5,2.0,7.9,0
2018-19,playoffs,-,6,5,242.3,355.4,20.8,7.1,11.0,64.5,2.7,4.8,56.6,17.0,81.7,5.7,27.5,1.1,5.2,1.0,4.8,1.9,9.2,0
2018-19,playoffs,-,0,4,240.0,394.8,18.3,3.8,9.8,38.5,1.8,2.5,70.0,9.3,50.7,6.0,32.9,1.0,5.5,1.0,5.5,1.3,6.8,0
2018-19,playoffs,-,2,4,240.0,441.8,21.0,8.2,12.5,65.3,2.8,3.7,77.3,19.2,91.3,5.2,24.6,0.8,4.0,0.7,3.2,1.3,6.3,0
2018-19,playoffs,-,10,5,243.3,403.4,17.5,7.3,11.0,66.1,2.2,3.4,64.7,16.7,95.8,3.5,20.2,0.6,3.4,0.7,4.2,1.2,6.9,0
2018-19,playoffs,-,1,4,240.0,349.2,20.6,7.6,11.4,66.7,1.0,2.0,50.0,16.2,78.6,6.6,32.0,1.2,5.8,1.2,5.8,0.8,3.9,0
2018-19,playoffs,-,1,4,240.0,399.8,20.2,5.2,11.0,47.3,1.4,2.6,53.8,11.8,58.4,6.2,30.7,0.6,3.0,1.4,6.9,1.0,5.0,0
2018-19,playoffs,-,7,5,240.0,411.4,22.9,8.6,13.5,63.6,3.0,3.9,76.6,20.2,88.0,5.5,24.0,1.2,5.1,1.3,5.5,1.3,5.5,0
2018-19,playoffs,-,8,8,247.8,373.2,21.8,7.9,13.6,58.3,2.2,2.8,77.8,18.3,83.7,4.8,22.1,1.2,5.4,1.1,5.2,1.2,5.4,0
2018-19,playoffs,-,3,4,240.0,368.4,19.6,7.6,12.3,61.6,2.6,3.7,69.2,17.6,89.8,4.9,24.8,0.3,1.5,0.1,0.7,1.6,8.0,0
2018-19,playoffs,-,16,8,242.1,415.2,17.3,5.4,8.9,61.0,3.0,3.7,82.0,13.7,78.8,5.4,31.0,1.2,7.0,0.8,4.3,1.2,7.0,0
2018-19,playoffs,-,1,4,240.0,395.8,27.6,10.6,15.8,67.1,5.0,6.8,73.5,26.2,94.9,5.4,19.6,0.6,2.2,1.8,6.5,2.8,10.1,0
2019-20,regular-season,-,20,47,243.0,398.7,23.5,10.0,14.7,68.1,2.5,3.7,68.0,22.9,97.3,4.7,20.0,0.9,3.7,1.5,6.4,1.8,7.6,0
2019-20,regular-season,-,48,24,242.1,406.0,22.5,8.7,14.1,61.6,2.2,3.0,74.2,19.9,88.2,5.2,22.9,0.8,3.7,1.1,4.7,1.4,6.4,0
2019-20,regular-season,-,35,37,242.8,402.2,22.1,8.5,12.9,65.8,2.2,3.3,66.9,19.7,89.2,5.4,24.3,0.9,4.3,1.2,5.2,1.6,7.1,0
2019-20,regular-season,-,23,41,242.3,427.8,23.8,8.5,13.9,60.9,2.5,3.6,69.0,19.6,82.4,5.9,25.0,1.0,4.3,1.2,4.9,1.6,6.8,0
2019-20,regular-season,-,22,43,241.2,408.3,21.8,7.5,11.8,63.2,2.9,3.9,73.8,18.1,83.2,5.4,25.0,0.9,4.3,1.4,6.3,1.8,8.1,0
2019-20,regular-season,-,19,46,241.9,412.9,27.9,10.2,16.2,63.2,2.5,3.7,68.6,23.3,83.4,6.6,23.6,1.1,4.1,1.6,5.8,1.7,6.0,0
2019-20,regular-season,-,41,32,242.1,413.4,19.9,7.9,11.7,67.6,2.4,3.0,78.2,18.6,93.3,4.9,24.7,0.8,4.3,0.8,4.0,1.4,7.1,0
2019-20,regular-season,-,46,27,243.1,427.3,24.7,9.6,14.0,68.1,2.8,3.9,72.9,22.5,90.9,6.3,25.3,1.3,5.3,1.2,5.0,1.7,6.9,0
2019-20,regular-season,-,20,45,241.9,409.6,23.1,8.4,13.8,61.1,2.9,4.3,68.0,20.2,87.7,4.4,19.1,0.8,3.5,1.6,6.8,1.9,8.4,0
2019-20,regular-season,-,15,50,241.9,456.5,21.3,7.6,12.3,61.6,2.2,3.0,73.2,17.8,83.8,5.6,26.3,1.0,4.8,1.0,4.8,1.4,6.8,0
2019-20,regular-season,-,44,28,241.4,369.0,17.6,6.2,9.4,65.3,1.3,2.0,65.5,13.9,78.9,5.3,30.3,0.9,5.0,1.2,7.0,1.0,5.6,0
2019-20,regular-season,-,45,28,241.4,416.0,19.8,7.5,11.7,64.0,2.5,3.2,77.4,17.8,89.7,4.6,23.2,1.0,5.0,1.1,5.4,1.5,7.7,0
2019-20,regular-season,-,49,23,241.4,396.7,21.1,7.9,12.8,62.0,2.6,3.6,71.2,18.7,88.6,4.6,21.7,0.9,4.1,1.0,4.9,1.7,8.0,0
2019-20,regular-season,-,52,19,240.7,407.4,26.5,11.1,15.9,70.1,2.6,3.9,66.1,25.3,95.4,6.0,22.6,1.1,4.0,1.6,6.1,1.8,6.9,0
2019-20,regular-season,-,34,39,240.7,431.0,25.2,10.3,15.5,66.7,2.6,3.4,75.3,23.8,94.4,5.5,21.6,1.1,4.3,1.5,6.0,1.6,6.4,0
2019-20,regular-season,-,44,28,243.1,413.5,22.8,7.9,11.7,67.6,3.3,4.4,74.7,19.4,85.1,6.6,29.1,1.2,5.4,1.2,5.2,2.1,9.4,0
2019-20,regular-season,-,55,17,241.0,406.9,20.7,7.9,12.6,62.6,2.3,3.0,76.1,18.6,89.7,4.7,22.6,0.9,4.6,1.0,5.0,1.4,6.7,0
2019-20,regular-season,-,19,45,243.1,433.3,19.8,7.0,11.3,61.6,2.8,3.9,71.8,17.1,86.6,4.6,23.3,0.8,4.2,1.0,5.2,1.8,9.2,0
2019-20,regular-season,-,30,41,241.8,446.2,22.4,8.3,12.3,67.4,1.9,3.0,65.1,18.9,84.3,6.6,29.3,1.1,5.0,1.2,5.4,1.3,6.0,0
2019-20,regular-season,-,21,45,241.9,422.6,23.4,9.5,14.6,64.7,2.8,4.2,66.3,22.2,94.8,4.4,18.8,0.7,2.9,1.3,5.5,2.0,8.7,0
2019-20,regular-season,-,44,28,242.1,407.5,20.6,7.1,11.2,63.8,2.2,3.0,72.4,16.8,81.5,5.4,26.4,0.8,3.7,1.4,6.6,1.4,6.6,0
2019-20,regular-season,-,33,40,240.7,392.7,24.8,8.4,14.5,57.5,2.6,3.7,69.4,19.6,79.4,6.3,25.4,1.2,4.8,1.2,4.7,1.7,6.9,0
2019-20,regular-season,-,43,30,241.0,421.8,22.4,8.2,13.0,63.4,2.6,3.5,74.4,19.4,86.6,5.4,24.3,1.1,4.8,1.2,5.3,1.6,7.2,0
2019-20,regular-season,-,34,38,240.7,416.1,26.4,9.9,15.9,62.2,2.8,3.4,80.2,23.1,87.5,6.4,24.3,1.2,4.6,1.3,5.0,1.6,6.1,0
2019-20,regular-season,-,34,39,241.0,366.9,19.4,7.7,12.5,61.4,2.0,2.8,72.8,17.7,91.1,3.7,18.9,0.7,3.4,1.2,5.9,1.2,6.2,0
2019-20,regular-season,-,31,40,242.5,405.9,21.3,8.6,13.4,64.4,2.4,3.1,77.4,19.9,93.5,4.5,21.1,0.8,3.6,1.1,5.2,1.5,6.9,0
2019-20,regular-season,-,31,39,242.1,401.0,16.5,5.9,9.6,62.2,1.8,2.4,74.7,13.9,83.9,4.2,25.4,0.7,4.1,1.0,6.0,1.1,6.4,0
2019-20,regular-season,-,52,19,241.4,415.9,21.6,7.5,12.0,63.0,2.0,2.8,72.0,17.4,80.5,6.1,28.0,1.0,4.6,1.4,6.6,1.3,5.8,0
2019-20,regular-season,-,44,28,241.0,417.2,19.4,7.6,11.1,68.6,2.8,4.1,67.5,18.2,94.0,4.3,22.1,0.7,3.7,1.3,6.5,1.9,9.8,0
2019-20,regular-season,-,25,47,241.0,433.0,21.0,7.6,12.3,61.6,2.3,3.0,77.1,18.0,85.8,5.4,25.6,1.0,4.6,1.2,5.5,1.5,7.2,0
2019-20,playoffs,-,10,7,244.4,394.8,20.4,7.6,12.1,62.6,1.8,2.4,75.0,17.2,84.4,5.2,25.4,0.5,2.3,1.4,6.6,1.1,5.2,0
2019-20,playoffs,-,0,4,240.0,421.8,22.5,5.5,9.0,61.1,1.5,2.5,60.0,12.5,55.6,9.5,42.2,2.0,8.9,2.3,10.0,1.3,5.6,0
2019-20,playoffs,-,2,4,244.2,402.0,17.7,6.2,9.2,67.3,2.3,3.0,77.8,15.0,84.9,5.2,29.2,1.0,5.7,1.0,5.7,1.5,8.5,0
2019-20,playoffs,-,9,10,241.3,401.7,19.4,6.6,10.1,66.0,1.7,2.6,67.3,15.2,78.5,6.0,31.0,0.8,4.3,0.8,4.3,1.3,6.5,0
2019-20,playoffs,-,5,7,242.1,372.9,12.6,3.8,6.3,59.2,0.3,0.5,66.7,7.9,62.9,4.2,33.1,1.1,8.6,1.2,9.3,0.3,2.0,0
2019-20,playoffs,-,0,4,240.0,384.0,13.0,5.8,9.0,63.9,1.0,2.0,50.0,12.5,96.2,2.3,17.3,0.0,0.0,0.5,3.8,1.0,7.7,0
2019-20,playoffs,-,7,6,241.9,381.8,21.7,7.1,12.1,58.6,4.5,6.1,73.4,18.8,86.9,4.5,20.9,0.8,3.5,1.1,5.0,3.1,14.2,0
2019-20,playoffs,-,16,5,240.0,395.3,24.5,9.7,13.8,70.3,2.8,3.8,74.7,22.6,92.4,6.4,26.3,1.5,6.2,1.4,5.8,1.7,7.0,0
2019-20,playoffs,-,14,7,242.4,410.0,20.3,7.0,10.3,67.7,2.6,3.3,77.1,16.8,82.4,6.8,33.3,1.1,5.6,0.7,3.5,1.5,7.3,0
2019-20,playoffs,-,5,5,242.5,388.5,19.7,7.8,11.7,66.7,2.4,3.2,75.0,18.2,92.4,5.0,25.4,1.1,5.6,0.7,3.6,1.5,7.6,0
2019-20,playoffs,-,3,4,243.6,399.6,19.9,6.1,10.6,58.1,2.0,3.1,63.6,14.6,73.4,5.6,28.1,1.0,5.0,1.3,6.5,1.3,6.5,0
2019-20,playoffs,-,1,4,240.0,402.2,16.2,5.2,9.4,55.3,2.4,3.2,75.0,13.2,81.5,3.8,23.5,0.8,4.9,0.8,4.9,1.4,8.6,0
2019-20,playoffs,-,0,4,240.0,400.8,19.3,5.3,10.3,51.2,3.8,5.5,68.2,14.8,76.6,4.5,23.4,0.8,3.9,0.5,2.6,2.0,10.4,0
2019-20,playoffs,-,1,4,240.0,362.6,18.0,6.8,11.6,58.6,3.8,6.0,63.3,17.6,97.8,2.6,14.4,0.0,0.0,0.6,3.3,2.8,15.6,0
2019-20,playoffs,-,7,4,244.5,408.9,16.8,5.7,9.1,63.0,1.7,2.0,86.4,13.5,80.5,4.7,28.1,1.1,6.5,1.1,6.5,0.9,5.4,0
2019-20,playoffs,-,3,4,243.6,391.0,20.0,6.6,10.3,63.9,2.6,4.3,60.0,16.0,80.0,5.3,26.4,0.9,4.3,1.1,5.7,2.1,10.7,0
2019-20,play-in,-,0,1,240.0,401.0,27.0,9.0,16.0,56.3,4.0,4.0,100,22.0,81.5,6.0,22.2,1.0,3.7,2.0,7.4,1.0,3.7,0
2019-20,play-in,-,1,0,240.0,381.0,25.0,6.0,12.0,50.0,1.0,2.0,50.0,14.0,56.0,7.0,28.0,1.0,4.0,1.0,4.0,1.0,4.0,0
2019-20,ist,-,0,1,265.0,502.0,26.0,7.0,13.0,53.8,7.0,8.0,87.5,22.0,84.6,7.0,26.9,3.0,11.5,2.0,7.7,3.0,11.5,0
2019-20,ist,-,1,0,265.0,527.0,28.0,6.0,16.0,37.5,1.0,2.0,50.0,13.0,46.4,7.0,25.0,0.0,0.0,2.0,7.1,1.0,3.6,0
2020-21,regular-season,-,41,31,241.7,396.3,25.2,10.3,16.1,64.2,3.1,4.4,70.4,24.2,96.2,4.6,18.3,0.9,3.7,1.2,4.9,2.1,8.3,0
2020-21,regular-season,-,36,36,241.4,406.8,22.9,8.8,13.4,65.5,2.2,3.3,65.3,20.1,87.6,5.6,24.3,1.0,4.2,1.2,5.2,1.5,6.4,0
2020-21,regular-season,-,48,24,241.7,397.8,21.1,8.3,12.2,67.9,2.3,3.2,70.8,19.3,91.3,5.5,25.8,1.0,4.6,1.1,5.3,1.5,7.2,0
2020-21,regular-season,-,33,39,241.0,426.6,23.9,7.6,12.4,61.7,2.5,3.5,70.5,18.1,75.8,7.1,29.5,1.3,5.5,1.6,6.7,1.7,6.9,0
2020-21,regular-season,-,31,41,241.4,412.8,22.7,8.4,12.7,66.3,2.3,3.2,72.1,19.7,86.8,6.3,27.7,1.3,5.6,1.2,5.1,1.5,6.5,0
2020-21,regular-season,-,22,50,242.1,424.3,27.5,9.8,15.6,62.7,3.3,4.7,69.9,23.3,84.7,7.1,25.7,1.2,4.2,1.3,4.9,2.2,8.0,0
2020-21,regular-season,-,42,30,240.3,392.1,19.8,7.0,10.9,64.4,2.4,3.1,77.7,16.7,84.2,5.7,28.5,0.8,4.2,0.9,4.3,1.5,7.8,0
2020-21,regular-season,-,47,25,242.8,416.4,25.8,10.0,15.1,65.9,2.7,3.4,79.1,23.1,89.5,6.7,25.9,1.4,5.4,1.3,5.0,1.6,6.0,0
2020-21,regular-season,-,20,52,242.1,407.5,22.1,8.1,12.2,66.2,2.3,3.1,73.2,18.7,84.6,6.4,28.8,1.1,4.8,1.1,5.0,1.4,6.4,0
2020-21,regular-season,-,39,33,240.3,428.9,18.0,7.0,10.7,65.3,1.5,2.3,67.5,15.8,87.6,4.4,24.5,1.0,5.3,1.1,6.2,1.0,5.8,0
2020-21,regular-season,-,17,55,240.3,398.1,19.3,7.8,11.7,67.0,1.9,2.7,71.8,18.0,93.1,4.7,24.1,0.8,4.0,0.9,4.7,1.3,6.5,0
2020-21,regular-season,-,34,38,242.4,431.3,22.1,8.5,13.0,65.3,2.8,3.7,74.9,20.4,92.0,5.3,24.0,1.1,4.8,1.0,4.3,1.8,7.9,0
2020-21,regular-season,-,47,25,240.0,398.9,21.0,7.4,11.7,63.4,2.5,3.1,80.5,17.6,84.0,5.8,27.5,1.1,5.0,1.1,5.1,1.4,6.7,0
2020-21,regular-season,-,42,30,242.4,424.8,22.2,8.3,12.3,67.7,2.9,4.0,71.5,19.9,89.6,5.9,26.4,1.1,4.9,1.2,5.6,1.9,8.7,0
2020-21,regular-season,-,38,34,241.7,401.1,25.1,9.9,15.5,64.1,2.8,3.6,78.1,23.1,91.8,5.8,23.2,1.0,4.0,1.1,4.5,1.7,6.9,0
2020-21,regular-season,-,40,32,241.4,403.2,22.8,8.8,12.8,69.0,2.2,3.1,71.6,20.3,89.3,6.3,27.6,1.0,4.5,1.3,5.6,1.5,6.4,0
2020-21,regular-season,-,46,26,240.7,380.1,23.7,8.9,13.3,67.0,2.3,3.1,74.0,20.5,86.7,6.1,25.7,1.2,4.9,1.6,6.9,1.4,6.0,0
2020-21,regular-season,-,23,49,241.7,420.9,21.9,8.1,12.8,63.0,2.8,4.1,69.5,19.4,88.6,5.3,24.2,0.8,3.8,1.3,5.7,1.9,8.5,0
2020-21,regular-season,-,31,41,242.1,416.3,24.9,9.5,14.8,64.1,2.5,3.9,64.0,21.9,87.9,5.9,23.5,1.0,3.8,1.4,5.6,1.8,7.2,0
2020-21,regular-season,-,41,31,242.1,394.4,19.0,6.7,10.7,63.2,2.0,2.8,72.1,15.7,82.5,5.1,26.6,0.9,4.8,1.3,7.1,1.4,7.2,0
2020-21,regular-season,-,22,50,241.0,408.8,20.2,7.3,11.8,61.5,2.1,3.2,66.7,17.1,84.6,4.8,23.6,0.7,3.6,1.3,6.5,1.5,7.5,0
2020-21,regular-season,-,21,51,240.7,392.2,20.1,6.8,11.3,60.6,1.9,2.8,69.0,15.9,79.3,5.7,28.5,1.0,5.1,0.9,4.4,1.4,6.8,0
2020-21,regular-season,-,49,23,242.1,430.7,19.3,6.7,10.8,62.3,3.0,4.1,72.8,16.7,86.4,4.3,22.0,0.7,3.4,1.1,5.8,1.9,9.9,0
2020-21,regular-season,-,51,21,242.8,402.6,24.3,9.1,13.7,66.6,2.5,3.1,82.1,21.2,87.2,6.8,28.0,1.2,5.0,1.2,5.0,1.5,6.1,0
2020-21,regular-season,-,42,30,240.3,364.6,17.4,6.5,11.0,59.4,2.1,2.8,76.1,15.4,88.4,3.5,20.0,0.8,4.6,0.8,4.6,1.4,7.8,0
2020-21,regular-season,-,31,41,240.3,399.4,22.2,8.9,13.5,66.2,2.6,3.7,69.5,20.7,93.5,4.6,20.8,1.0,4.4,1.1,5.0,1.8,7.9,0
2020-21,regular-season,-,33,39,242.8,380.7,18.7,7.0,11.0,63.6,1.6,2.3,70.5,16.0,85.6,5.1,27.0,0.8,4.3,0.9,4.7,1.1,5.7,0
2020-21,regular-season,-,27,45,240.3,412.3,20.0,6.8,10.9,62.3,2.2,3.0,73.9,16.1,80.7,5.8,29.2,0.9,4.5,1.0,5.2,1.5,7.4,0
2020-21,regular-season,-,52,20,241.0,411.2,20.7,7.9,11.4,68.8,2.8,4.3,66.7,19.1,91.9,4.8,23.4,0.9,4.2,1.3,6.5,2.0,9.4,0
2020-21,regular-season,-,34,38,241.7,391.8,24.8,9.9,15.0,65.8,2.9,4.0,73.3,23.2,93.7,5.7,22.8,0.9,3.8,1.3,5.0,1.9,7.5,0
2020-21,playoffs,-,10,8,240.0,364.9,20.3,7.9,12.8,61.9,1.7,3.2,52.6,17.9,88.0,4.1,19.9,0.5,2.5,1.1,5.2,1.4,6.8,0
2020-21,playoffs,-,1,4,240.0,369.4,24.0,8.2,14.6,56.2,3.8,4.8,79.2,20.4,85.0,5.2,21.7,0.2,0.8,1.4,5.8,2.4,10.0,0
2020-21,playoffs,-,7,5,242.1,390.7,17.2,6.5,11.0,59.1,1.0,1.3,75.0,14.2,82.5,3.7,21.4,0.4,2.4,1.0,5.8,0.6,3.4,0
2020-21,playoffs,-,3,4,240.0,363.9,22.7,7.1,13.1,54.3,2.1,2.3,93.8,16.6,73.0,6.1,27.0,0.9,3.8,1.4,6.3,0.9,3.8,0
2020-21,playoffs,-,4,6,245.0,403.2,21.2,9.1,14.2,64.1,1.1,2.0,55.0,19.5,92.0,4.3,20.3,0.8,3.8,0.8,3.8,1.0,4.7,0
2020-21,playoffs,-,10,9,240.0,373.2,16.7,5.1,7.7,65.3,2.6,3.2,83.3,13.1,78.5,5.5,33.1,0.7,4.1,1.1,6.6,1.5,8.8,0
2020-21,playoffs,-,2,4,240.0,404.0,23.5,8.7,13.0,66.7,2.7,4.0,66.7,20.7,87.9,5.8,24.8,0.8,3.5,1.5,6.4,2.0,8.5,0
2020-21,playoffs,-,1,4,240.0,360.6,22.0,8.0,13.2,60.6,3.0,3.6,83.3,19.2,87.3,5.0,22.7,0.8,3.6,1.4,6.4,1.8,8.2,0
2020-21,playoffs,-,0,4,246.2,415.8,20.3,7.0,12.8,54.9,1.5,1.5,100,15.8,77.8,5.3,25.9,0.5,2.5,1.5,7.4,0.8,3.7,0
2020-21,playoffs,-,16,7,242.2,362.7,24.5,9.7,14.3,68.3,2.5,3.8,65.9,22.3,90.9,5.7,23.4,1.0,3.9,1.4,5.7,1.8,7.3,0
2020-21,playoffs,-,1,4,240.0,381.4,20.6,6.2,10.0,62.0,1.6,2.0,80.0,14.4,69.9,7.0,34.0,0.6,2.9,1.4,6.8,1.0,4.9,0
2020-21,playoffs,-,7,5,240.0,425.2,17.3,6.8,10.8,63.6,3.2,4.3,74.5,17.0,98.6,2.5,14.5,0.6,3.4,1.3,7.7,2.0,11.6,0
2020-21,playoffs,-,14,8,240.0,366.0,21.6,8.1,12.5,64.7,1.4,1.7,78.9,17.8,82.3,6.0,27.6,0.9,4.2,1.0,4.4,0.9,4.0,0
2020-21,playoffs,-,2,4,248.3,363.5,14.0,6.2,10.7,57.8,1.5,1.7,90.0,14.5,103.6,2.0,14.3,0.3,2.4,0.3,2.4,0.8,6.0,0
2020-21,playoffs,-,6,5,240.0,361.0,16.5,6.6,9.1,73.0,2.5,3.8,64.3,16.0,96.7,3.5,20.9,0.6,3.8,1.3,7.7,1.9,11.5,0
2020-21,playoffs,-,1,4,240.0,370.2,24.4,10.2,15.6,65.4,3.2,5.6,57.1,23.8,97.5,4.0,16.4,0.2,0.8,0.2,0.8,2.6,10.7,0
2020-21,play-in,-,1,0,240.0,424.0,28.0,7.0,15.0,46.7,3.0,6.0,50.0,18.0,64.3,7.0,25.0,0.0,0.0,0.0,0.0,2.0,7.1,0
2020-21,play-in,-,0,1,240.0,396.0,20.0,8.0,12.0,66.7,2.0,2.0,100,19.0,95.0,5.0,25.0,0.0,0.0,1.0,5.0,1.0,5.0,0
2020-21,play-in,-,0,2,252.5,435.5,18.5,5.5,10.5,52.4,0.5,1.0,50.0,12.5,67.6,6.5,35.1,1.5,8.1,0.5,2.7,0.5,2.7,0
2020-21,play-in,-,1,1,240.0,459.5,27.0,13.0,17.5,74.3,4.0,5.0,80.0,31.0,114.8,4.5,16.7,0.5,1.9,1.5,5.6,2.5,9.3,0
2020-21,play-in,-,1,0,240.0,432.0,27.0,10.0,18.0,55.6,3.0,6.0,50.0,23.0,85.2,6.0,22.2,1.0,3.7,0.0,0.0,3.0,11.1,0
2020-21,play-in,-,2,0,252.5,391.0,24.5,7.0,13.0,53.8,3.5,7.0,50.0,17.5,71.4,5.5,22.4,1.0,4.1,1.5,6.1,3.5,14.3,0
2020-21,play-in,-,0,1,240.0,381.0,22.0,8.0,12.0,66.7,4.0,6.0,66.7,21.0,95.5,5.0,22.7,1.0,4.5,1.0,4.5,3.0,13.6,0
